Attraction Title,Product ID,Product Slug,Taxonomy,City,Country Code,City UFI
Whaka Geothermal Trails Self-Guided Tour,PRajjZ3qUnvd,prajjz3qunvd-whaka-geothermal-trails-self-guided-tour,activities,Rotorua,nz,900039038
Private transfers from King Shaka Airport,PRtWqDXKOdVn,prtwqdxkodvn-private-transfers-from-king-shaka-airport,transfers-services,Durban,za,-1224926
Whaka Trails and Maori Village Combo Tour,PRJoWEPU2qj5,prjowepu2qj5-whaka-trails-and-maori-village-combo-tour,activities,Rotorua,nz,900039038
Shaka Guide: Seattle Audio Tour Bundle,PRR6cZ97H4yX,prr6cz97h4yx-seattle-audio-tour-bundle-mt-rainier-olympic-national-park,tours,Seattle,us,20144883
Private Sedan Transfers - Durban King Shaka,PR1uRa0p3uJr,pr1ura0p3ujr-private-sedan-transfers-durban-king-shaka,transfers-services,Durban,za,-1224926
Thaka Floating Market: Thailandâ€™s Most Authentic Experience,PRv3jN2FILF5,prv3jn2filf5-thaka-thailands-most-authentic-floating-market,tours,Bangkok,th,-3414440
Unspoiled Outdoors - Thaka Floating Market & Erawan Falls,PRYFnlFXFbgL,pryfnlfxfbgl-unspoiled-outdoors-thaka-floating-market-erawan-falls,tours,Bangkok,th,-3414440
Private Day Tour to Qinghai Lake and Chaka Salt Lake from Xining,PROX0kfTDGQG,prox0kftdgqg-private-day-tour-to-qinghai-lake-and-chaka-salt-lake-from-xining,tours,Xining,cn,-1933729
Shaka Guide Maui Classic Road to Hana Audio Driving Tour,PRuX2nIzh5VJ,prux2nizh5vj-shaka-guide-maui-classic-road-to-hana-audio-driving-tour,tours,Kapalua West Maui Airport,us,900011102
One Way: King Shaka International Airport to/from Durban (DUR),PRwpAT3NKAg6,prwpat3nkag6-one-way-king-shaka-international-airport-tofrom-durban-dur,transfers-services,Durban,za,-1224926